id,sales
3000888,3.3207858
3000889,1.5450113
3000890,-31.116352
3000891,2350.5366
3000892,-24.200905
3000893,432.016
3000894,-2.0950074
3000895,940.1986
3000896,921.4966
3000897,313.38104
3000898,94.19929
3000899,143.12013
3000900,3585.3743
3000901,0.23253381
3000902,-1.2483008
3000903,32.234608
3000904,140.88885
3000905,-1.2483008
3000906,213.69673
3000907,10.759053
3000908,123.43583
3000909,194.98778
3000910,243.15704
3000911,27.353876
3000912,238.50925
3000913,447.59836
3000914,11.226753
3000915,11.226753
3000916,331.4256
3000917,173.1242
3000918,3712.0696
3000919,541.2777
3000920,61.49063
3000921,-19.161861
3000922,-20.937632
3000923,-217.21194
3000924,1978.2101
3000925,-41.986504
3000926,107.02753
3000927,-38.93033
3000928,638.4229
3000929,410.57388
3000930,23.874683
3000931,-7.4838176
3000932,41.436993
3000933,3344.8245
3000934,-6.680656
3000935,-8.1614895
3000936,-69.25685
3000937,-130.9838
3000938,-8.1614895
3000939,53.650993
3000940,-5.721002
3000941,-86.65736
3000942,-56.660786
3000943,8.532853
3000944,6.674112
3000945,190.55283
3000946,91.63461
3000947,-19.381372
3000948,-19.381372
3000949,225.32689
3000950,0.15897167
3000951,2065.8127
3000952,104.1353
3000953,-58.841698
3000954,77.60076
3000955,75.82499
3000956,122.095406
3000957,4068.7668
3000958,97.05278
3000959,914.6055
3000960,164.65913
3000961,1633.2582
3000962,1185.6729
3000963,594.8741
3000964,235.40976
3000965,284.33038
3000966,6992.9746
3000967,43.089478
3000968,41.608643
3000969,185.78566
3000970,165.16803
3000971,41.608643
3000972,457.8266
3000973,45.35153
3000974,323.55054
3000975,156.54631
3000976,400.8472
3000977,56.019836
3000978,268.56128
3000979,618.9689
3000980,58.572468
3000981,160.80743
3000982,258.01675
3000983,131.33183
3000984,2707.0994
3000985,717.1937
3000986,84.20456
3000987,-1.3233387
3000988,-3.0991135
3000989,-34.926174
3000990,1962.4569
3000991,-19.8846
3000992,290.32132
3000993,-48.630566
3000994,836.4841
3000995,496.00436
3000996,88.810875
3000997,25.6608
3000998,74.5816
3000999,2963.887
3001000,-2.0463927
3001001,-3.5272317
3001002,-28.027754
3001003,-41.493713
3001004,-3.5272317
3001005,90.95645
3001006,-1.086741
3001007,-49.351868
3001008,-27.00784
3001009,50.290863
3001010,9.581573
3001011,190.30875
3001012,125.50407
3001013,-11.379889
3001014,-11.379889
3001015,135.38931
3001016,-3.6317964
3001017,2366.3904
3001018,254.09053
3001019,-5.415592
3001020,-1.3233387
3001021,-3.0991135
3001022,-34.926174
3001023,1962.4569
3001024,-19.8846
3001025,235.06468
3001026,-48.630566
3001027,836.4841
3001028,444.0562
3001029,88.810875
3001030,25.6608
3001031,74.5816
3001032,2963.887
3001033,-2.0463927
3001034,-3.5272317
3001035,-28.027754
3001036,-41.493713
3001037,-3.5272317
3001038,105.80222
3001039,-1.086741
3001040,-49.351868
3001041,-30.09721
3001042,45.838345
3001043,9.581573
3001044,190.30875
3001045,148.5483
3001046,-11.379889
3001047,-11.379889
3001048,112.1814
3001049,-3.6317964
3001050,2366.3904
3001051,254.09053
3001052,-5.415592
3001053,3.161325
3001054,1.3855498
3001055,-36.87298
3001056,1766.0743
3001057,-2.1227908
3001058,259.87408
3001059,-49.686428
3001060,865.1029
3001061,527.6354
3001062,89.51502
3001063,67.53547
3001064,116.45629
3001065,2947.0059
3001066,1.0765207
3001067,-0.40431058
3001068,30.947384
3001069,11.992243
3001070,-0.40431058
3001071,173.14726
3001072,5.3158164
3001073,44.808037
3001074,76.19598
3001075,144.14651
3001076,17.71093
3001077,190.18925
3001078,167.59923
3001079,3.0634933
3001080,3.0634933
3001081,166.7458
3001082,62.673935
3001083,3084.1519
3001084,310.6345
3001085,-2.9856634
3001086,-1.3233387
3001087,-3.0991135
3001088,-34.926174
3001089,1962.4569
3001090,-19.8846
3001091,290.32132
3001092,-48.630566
3001093,775.5185
3001094,496.00436
3001095,92.102974
3001096,43.46157
3001097,74.5816
3001098,3189.203
3001099,-2.0463927
3001100,-3.5272317
3001101,-28.027754
3001102,-41.493713
3001103,-3.5272317
3001104,90.95645
3001105,-1.086741
3001106,-49.351868
3001107,-27.00784
3001108,39.941597
3001109,9.581573
3001110,190.30875
3001111,111.96061
3001112,-11.379889
3001113,-11.379889
3001114,112.1814
3001115,0.012545943
3001116,2366.3904
3001117,254.09053
3001118,-5.415592
3001119,6.801934
3001120,5.026157
3001121,-49.57236
3001122,1591.9089
3001123,-10.190695
3001124,182.68271
3001125,-57.754337
3001126,819.44604
3001127,419.65625
3001128,-4.3042836
3001129,40.821457
3001130,89.74227
3001131,2811.9204
3001132,-6.6186385
3001133,-8.099475
3001134,-6.5017095
3001135,-65.0689
3001136,-8.099475
3001137,96.086075
3001138,-2.3793454
